date,cases
2023-10-29,633
2023-11-05,784
2023-11-12,815
2023-11-19,842
2023-11-26,887
2023-12-03,1055
2023-12-10,528
2023-12-17,705
2023-12-24,504
2023-12-31,533
2024-01-07,565
2024-01-14,505
2024-01-21,628
2024-01-28,795
2024-02-04,559
2024-02-11,598
2024-02-18,442
2024-02-25,726
2024-03-03,577
2024-03-10,821
2024-03-17,626
2024-03-24,956
2024-03-31,924
2024-04-07,895
2024-04-14,719
2024-04-21,915
2024-04-28,928
2024-05-05,1022
2024-05-12,910
2024-05-19,1265
2024-05-26,1831
2024-06-02,1321
2024-06-09,1384
2024-06-16,2138
2024-06-23,1539
2024-06-30,1771
2024-07-07,1709
2024-07-14,1484
2024-07-21,2439
2024-07-28,1848
2024-08-04,1348
2024-08-11,1637
2024-08-18,2570
2024-08-25,1377
2024-09-01,1636
2024-09-08,1484
2024-09-15,859
2024-09-22,1887
2024-09-29,1334
2024-10-06,1288
2024-10-13,961
2024-10-20,1152
2024-10-27,1205
2024-11-03,1057
2024-11-10,821
2024-11-17,932
2024-11-24,769
2024-12-01,871
2024-12-08,850
2024-12-15,860
2024-12-22,700
2024-12-29,618
2025-01-05,458
2025-01-12,403
2025-01-19,443
2025-01-26,556
2025-02-02,603
2025-02-09,638
2025-02-16,575
2025-02-23,589
2025-03-02,634
2025-03-09,718
2025-03-16,693
2025-03-23,529
2025-03-30,709
2025-04-06,795
2025-04-13,907
2025-04-20,1221
2025-04-27,1050
2025-05-04,1606
2025-05-11,1259
2025-05-18,1473
2025-05-25,1127
2025-06-01,1368
2025-06-08,1267
2025-06-15,1165
2025-06-22,1275
2025-06-29,2447
2025-07-06,1961
2025-07-13,2258
2025-07-20,1277
2025-07-27,1194
2025-08-03,2092
2025-08-10,2124
2025-08-17,1547
2025-08-24,1818
2025-08-31,2261
2025-09-07,1879
2025-09-14,1308
2025-09-21,1401
2025-09-28,1450
2025-10-05,1338
2025-10-12,1269
2025-10-19,1655
2025-10-26,1209
2025-11-02,714
2025-11-09,811
2025-11-16,689
2025-11-23,635
2025-11-30,761
2025-12-07,766
2025-12-14,716
2025-12-21,688
2025-12-28,862
2026-01-04,866
2026-01-11,501
2026-01-18,499
2026-01-25,697
2026-02-01,503
2026-02-08,631
2026-02-15,598
2026-02-22,466
2026-03-01,547
2026-03-08,649
2026-03-15,503
2026-03-22,598
2026-03-29,682
2026-04-05,936
2026-04-12,1109
2026-04-19,941
2026-04-26,1280
2026-05-03,1105
2026-05-10,1062
2026-05-17,1793
2026-05-24,1961
2026-05-31,1950
2026-06-07,1513
2026-06-14,1119
2026-06-21,1359
2026-06-28,2733
